Tweets,Classification path,Level 1 label,Level 1 probability
2017-12-02 09:52:32 In school?  Take a ride for free w the LYFT app. Use credit code ZOOT for free rides credits. #OhioState #PennState #UConn #rutgers,/neutral/,neutral,0.603
"2017-12-02 09:46:56 RT @buckeyefansonly: On a star-studded #OhioState team, @BTNTomDienhart spots 2 #Buckeyes who are flying under the radar heading into the B…",/neutral/,neutral,0.755
"2017-12-02 09:35:29 On a star-studded #OhioState team, @BTNTomDienhart spots 2 #Buckeyes who are flying under the radar heading into th… https://t.co/X04fH4SprG",/neutral/,neutral,0.659
"2017-12-02 09:26:02 #OhioState over Wisconsin 28-19; game simulated 10K times. Badgers have better record, but #Buckeyes viewed as more… https://t.co/NXSTtydjyl",/neutral/,neutral,0.574
2017-12-02 09:08:52 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.673
2017-12-02 08:56:10 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.673
2017-12-02 07:53:24 @b_191bmiller @AdamJMaya Fact is #OhioState Lost 2 games and was dominated in both losses and was completely domina… https://t.co/rmvoZlIajC,/neutral/,neutral,0.536
"2017-12-02 07:48:30 RT @OhioStateClock: 2,197 days since Michigan's last win over Ohio State in football. #OhioState",/neutral/,neutral,0.581
"2017-12-02 07:31:13 RT @OhioStateClock: 2,197 days since Michigan's last win over Ohio State in football. #OhioState",/neutral/,neutral,0.574
2017-12-02 07:28:38 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.593
2017-12-02 07:26:43 Another weekend where Don learns coaching techniques. #OhioState https://t.co/cesDIkYJjv,/neutral/,neutral,0.696
2017-12-02 07:24:55 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.673
2017-12-02 07:16:06 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.673
